sentiment,word
惊,冷不防
惊,惊动
惊,珍闻
惊,悬念
惊,鞭策
惊,阴错阳差
惊,魂惊胆颤
惊,千载难逢
惊,异军突起
惊,蹊跷
惊,出人意表
惊,轰天裂地
惊,骇目惊心
惊,平地一声雷
惊,摇身一变
惊,舌桥不下
惊,咂嘴弄脣
惊,横生
惊,_god
惊,惊人
惊,河出伏流
惊,口呆目钝
惊,恢恑憰怪
惊,令人咋舌
惊,神奇
惊,魂飞神丧
惊,奇遇
惊,惊怪
惊,怔怔
惊,吃惊
惊,惊愚骇俗
惊,神秘
惊,活脱
惊,魂惭色褫
惊,寒噤
惊,骇人闻听
惊,亘古未有
惊,魂飞魄越
惊,魂惊胆落
惊,邪门儿
惊,冷不丁
惊,震悚
惊,口呆目瞪
惊,惊耳骇目
惊,惊奇
惊,大跌眼镜
惊,一举成名
惊,纳罕
惊,讶异
惊,喔唷
惊,傥来之物
惊,洞心骇耳
惊,撼天动地
惊,魂惊魄落
惊,无巧不成书
惊,冷门
惊,意想不到
惊,动人心魄
惊,青天霹雳
惊,一步登天
惊,奇袭
惊,百足之虫，死而不僵
惊,猛不防
惊,可惊
惊,不虞之誉
惊,不期而然
惊,骇人闻见
惊,骇然
惊,咂嘴舔脣
惊,天惊石破
惊,惊世绝俗
惊,目瞪口张
惊,叹为观止
惊,讶然失色
惊,意料之外
惊,大吃一惊
惊,不期而遇
惊,惊诧
惊,惊天动地
惊,黄河水清
惊,希奇
惊,怨不得
惊,别开生面
惊,铁树花开
惊,不料
惊,悬系
惊,世外桃源
惊,千载一时
惊,目瞪舌挢
惊,惊心骇瞩
惊,诧愕
惊,目瞪口歪
惊,鬼神不测
惊,魂飘魄散
惊,轰动
惊,突如其来
惊,撒豆成兵
惊,俛拾地芥
惊,奇迹
惊,惊爆
惊,魂飞胆裂
惊,目乱睛迷
惊,忽而
惊,FT
惊,惊心怵目
惊,惊服
惊,拍案惊奇
惊,殷浩书空
惊,魂消魄丧
惊,逐新趣异
惊,从天而降
惊,愕然
惊,不谓
惊,哄动
惊,魂飞胆落
惊,悬心
惊,惊心惨目
惊,yun
惊,目眩神摇
惊,稀奇古怪
惊,奇妙
惊,天崩地裂
惊,魂飞胆战
惊,我去
惊,措手不及
惊,惊奇不已
惊,海外奇谈
惊,平地风波
惊,怔住
惊,一怔
惊,魂丧神夺
惊,咂嘴咂舌
惊,形迹可疑
惊,堤之千里，溃于蚁穴
惊,光怪陆离
惊,惊见骇闻
惊,诧异
惊,哄动一时
惊,洞心骇目
惊,猛然
惊,低估
惊,骇龙走蛇
惊,目瞪舌彊
惊,亘古奇闻
惊,奇异
惊,魂惊魄惕
惊,神神秘秘
惊,好晕啊
惊,不期然而然
惊,石破天惊
惊,示众
惊,848
惊,迅雷不及掩耳
惊,千载一遇
惊,奇谈
惊,动地惊天
惊,匪夷所思
惊,震撼寰宇
惊,讶然
惊,跌眼镜
惊,魂飞魄飏
惊,和尚不吃豆腐－怪哉
惊,哗然
惊,惊世骇目
惊,魂消魄夺
惊,奇怪
惊,奇闻
惊,错愕
惊,怪讶
惊,一个骰子掷七点－出乎意料
惊,不期
惊,晕倒
惊,瞠目结舌
惊,惊世震俗
惊,不可思议
惊,魂慴色沮
惊,奇特
惊,猛孤丁地
惊,怪事咄咄
惊,惊讶
惊,千奇百怪
惊,大惊失色
惊,猝不及防
惊,诡形奇制
惊,铁树开华
惊,忽地
惊,魂消胆丧
惊,晴天霹雳
惊,魂飞胆破
惊,魂耗魄丧
惊,骇怪
惊,无翼而飞
惊,惊呆
惊,咄咄怪事
惊,震撼人心
惊,恰巧
惊,单复之术
惊,回光返照
惊,魂飞胆丧
惊,恍然
惊,目乱精迷
惊,骇人视听
惊,目瞪口呆
惊,无奇不有
惊,目瞪口僵
惊,不得了
惊,铁树开花
惊,罕见
惊,骤然
惊,惊疑
惊,骇心动目
惊,惊愕
惊,震慑人心
惊,怔神儿
惊,原来
惊,离奇古怪
惊,银河倒泻
惊,惊异
惊,意出望外
惊,好奇
惊,神妙莫测
惊,真晕啊
惊,震天动地
惊,魂飞魄荡
惊,惊叹
惊,鬼使神差
惊,目瞪口结
好,聘任
好,可见一斑
好,不如
好,镂肝鉥肾
好,莹洁
好,舍生存义
好,挥日阳戈
好,谦尊而光
好,称道
好,拾带重还
好,无师自通
好,红领巾
好,流水不腐，户枢不蠹
好,体谅
好,不忍释手
好,平价和售
好,毫无问题
好,促进
好,欣欣然
好,玉箫金琯
好,直接了当
好,入理切情
好,我踩
好,如响斯应
好,警觉
好,澄澈
好,软香温玉
好,事半功百
好,同忧相救
好,红娘
好,主观能动性
好,捐金抵璧
好,坐薪尝胆
好,芳烈
好,拖青纡紫
好,对手
好,桂林一枝
好,心甘情原
好,显贵
好,设身处地
好,朝贺
好,刚勇
好,叠韵
好,突破
好,得天独厚
好,绝长补短
好,垂名竹帛
好,登堂入室
好,鸿业远图
好,诤言
好,治病救人
好,忠直
好,语妙绝伦
好,称兄道弟
好,令行禁止
好,光顾
好,摧锋陷坚
好,瓜垢磨痕
好,不二法门
好,遵照
好,光溜
好,讲信修睦
好,稳厚
好,勇健
好,爱上
好,葱绿
好,不主故常
好,云中白鹤
好,奇观
好,婉丽
好,精当
好,赞叹不已
好,泰然处之
好,在理
好,才华
好,悔罪自新
好,询谋佥同
好,拨乱反正
好,四平八稳
好,茂密
好,宽仁大度
好,国泰民安
好,有以善处
好,磊落轶荡
好,有才
好,乖乖
好,英雄
好,破除
好,流芳千古
好,珍宝
好,鹿车共挽
好,娇好
好,轻俏
好,神气
好,入阁登坛
好,磨礲淬励
好,震古铄今
好,誓言
好,开宗明义
好,风流倜傥
好,力求
好,斑衣戏彩
好,同甘共苦
好,倾国倾城
好,确乎不拔
好,不亢不卑
好,换羽移宫
好,直肠子
好,桃红柳绿
好,超群绝伦
好,求真务实
好,谦虚敬慎
好,马上得天下
好,蓬蓬勃勃
好,光宗耀祖
好,称意
好,希望
好,陆詟水栗
好,通文达艺
好,奇崛
好,如火如荼
好,想望
好,革凡登圣
好,兴利除弊
好,朱唇皓齿
好,奇花异卉
好,息息相关
好,轻生重义
好,通险暢机
好,意境
好,汗青
好,教学相长
好,殚见洽闻
好,秀气
好,浑金璞玉
好,大名鼎鼎
好,新兴
好,勇决
好,主体
好,雄深雅健
好,高足弟子
好,亲戚
好,伯祖母
好,意前笔后
好,乾巴利脆
好,一表非俗
好,陵劲淬砺
好,不露斤斧
好,咫尺万里
好,舐犊情深
好,朗朗乾坤
好,集大成
好,日角龙庭
好,荣宗耀祖
好,林下风范
好,津润
好,高旷
好,主力军
好,满意
好,规重矩叠
好,龟年鹤寿
好,繁华胜地
好,合情合理
好,出类拔萃
好,真谛
好,活溜
好,岳镇渊渟
好,警省
好,金口玉牙
好,吃苦在前
好,空前绝后
好,圣洁
好,紧凑
好,好手
好,神工鬼斧
好,亲族
好,倜傥
好,实心实意
好,雅怀
好,善感
好,书功竹帛
好,冠绝一时
好,风采
好,赞佩
好,鬼哭栗飞
好,援外
好,别开一格
好,补情
好,遵命
好,通窍
好,淳美
好,府上
好,父母国
好,有方
好,白头相守
好,八面张罗
好,化境
好,拜将封侯
好,赏钱
好,同心共胆
好,函丈
好,素朴
好,谨饬
好,百二河山
好,美轮美奂
好,下子
好,上级
好,节俭力行
好,指教
好,博识
好,成气候
好,慈爱
好,进德脩业
好,至死不变
好,交相辉映
好,探幽索隐
好,材疏志大
好,大节不可夺
好,英灵
好,斩将搴旗
好,愉乐
好,津要
好,戴月披星
好,交映
好,随机应变
好,出尖
好,挥洒自如
好,宽怀
好,补偏救弊
好,珍本
好,百世不磨
好,意中人
好,精金良玉
好,好听
好,彪炳千古
好,失敬
好,有声有色
好,投桃报李
好,不可
好,柱天踏地
好,爱护
好,清扬
好,爱如己出
好,五车书
好,去伪存真
好,迎门请盗
好,铿金霏玉
好,秋风扫落叶
好,精悍
好,谨始虑终
好,锱铢不爽
好,碧蓝
好,了若指掌
好,厚往薄来
好,煦煦
好,辅佐
好,巧劲儿
好,丰润
好,鸿篇巨著
好,文籍先生
好,详赡
好,降心俯首
好,机断
好,施与
好,秀挺
好,纷华
好,大澈大悟
好,寿山福海
好,观隅反三
好,无相无作
好,伶俐乖巧
好,悬石程书
好,强直自遂
好,白衣卿相
好,开门见山
好,甘芳
好,江山如画
好,争气
好,随高逐低
好,益虫
好,春风夏雨
好,满腹诗书
好,说一不二
好,同声相求
好,醇厚
好,周公吐哺
好,独立自主
好,结发夫妻
好,众星捧月
好,危言危行
好,稳固
好,屋上乌
好,救星
好,放之四海而皆准
好,倾耳注目
好,一言九鼎
好,壮土解腕
好,龙雕凤咀
好,脂膏莫润
好,虎虎生气
好,准确无误
好,流脍人口
好,目不窥园
好,无所不尽其极
好,穷不失义
好,识才尊贤
好,莹润
好,凤骨龙姿
好,余裕
好,刁钻促狭
好,保境息民
好,合浦珠还
好,杨柳宫眉
好,板板正正
好,款款深深
好,爽直
好,日昃忘食
好,温故知新
好,随车致雨
好,胸中甲兵
好,善善恶恶
好,敬老慈少
好,直性子
好,任命
好,够水平
好,进贤兴功
好,倾肝沥胆
好,实心眼儿
好,玉宇琼楼
好,横槊赋诗
好,枕戈待敌
好,荣华
好,从容不迫
好,深邃
好,如花似玉
好,丰硕
好,造微入妙
好,鉥心刿目
好,随时随地
好,大步流星
好,抱打不平
好,功效
好,鸣凤朝阳
好,更生
好,跌宕不羁
好,人治
好,下饭
好,扬清激浊
好,夙夜匪懈
好,进步
好,龙颜凤姿
好,神通广大
好,晴明
好,爽目
好,嘉奖
好,抵御
好,奉献
好,千姿百态
好,岂但
好,雄丽
好,美意延年
好,问寝视膳
好,辨物居方
好,居安虑危
好,晶莹
好,高妙
好,跃跃欲试
好,祭扫
好,改行从善
好,戮力一心
好,道头会尾
好,千里寄鹅毛
好,踏破铁鞋
好,尧天舜日
好,桂折一枝
好,悟道
好,简单明了
好,艳紫妖红
好,豪侠
好,达官贵人
好,事倍功半
好,宏论
好,垂首过膝
好,奉为至宝
好,丰碑
好,彬彬
好,心秀
好,高精度
好,勤奋
好,离世遁上
好,一如既往
好,珍藏
好,运斤如风
好,丹楹刻桷
好,痴长
好,运筹帷幄
好,珠玉在侧
好,经纶济世
好,旗开得胜
好,仪容
好,亲和
好,一片至诚
好,笔饱墨酣
好,同心协力
好,赤诚
好,冰寒于水
好,瑜百瑕一
好,平整
好,赏赐
好,思贤如渴
好,丰功厚利
好,傲然屹立
好,佳品
好,沥血叩心
好,截断众流
好,神至之笔
好,筋道
好,崇信
好,轻财好义
好,超赞
好,有一手
好,认可
好,摧陷廓清
好,头绪
好,尽孝
好,啧啧称羡
好,寸铁杀人
好,同心一力
好,千金买骏骨
好,匹马一麾
好,山止川行
好,途途是道
好,铁狱铜笼
好,让逸竞劳
好,迁善黜恶
好,板正
好,本枝百世
好,神而明之
好,小不点儿
好,群芳
