sentiment,word
positive,无误
positive,感激不尽 
positive,受大众欢迎
positive,敬礼
positive,合口味 
positive,突出 
positive,文雅
positive,一尘不染 
positive,高精度 
positive,兴盛
positive,如获至宝 
positive,朴 
positive,浑然 
positive,辉煌 
positive,炫目 
positive,标致
positive,冰清玉洁 
positive,细致优雅的
positive,精心的
positive,心灵 
positive,照理 
positive,最主要 
positive,湛 
positive,热心肠的
positive,恭敬
positive,超凡入圣 
positive,眄 
positive,懂礼 
positive,真心诚意 
positive,倾心 
positive,滑稽 
positive,瑰 
positive,无上光荣 
positive,道谢
positive,断然 
positive,驯服 
positive,自行 
positive,确凿无疑 
positive,行云流水 
positive,伶俐 
positive,全始全终 
positive,任意 
positive,勾魂 
positive,驯良 
positive,渴盼
positive,适度的
positive,宝贵 
positive,巧妙的
positive,协力
positive,征服
positive,以求 
positive,致敬 
positive,朝气蓬勃 
positive,慊 
positive,牣 
positive,由衷
positive,高高兴兴
positive,惨淡 
positive,肜 
positive,不耻下问 
positive,忠诚的行为
positive,流利的
positive,悄悄 
positive,慕名 
positive,认命 
positive,不含糊的
positive,和顺 
positive,令人信服 
positive,舒 
positive,欢闹的
positive,欢叫
positive,荣耀
positive,纯洁
positive,明目张胆 
positive,有财产
positive,坚不可摧 
positive,拿手 
positive,有两下子 
positive,整洁的
positive,整齐的
positive,低首下心 
positive,有助益
positive,鼎鼎大名 
positive,光洁 
positive,悔改
positive,清雅 
positive,大量的
positive,忘不了
positive,轻悄悄 
positive,昌盛
positive,苦心 
positive,精壮 
positive,正经 
positive,奇妙
positive,助手
positive,妇孺皆知 
positive,如意
positive,称心如意 
positive,上 
positive,别致的
positive,妄想 
positive,舒松 
positive,喜爱 
positive,中肯 
positive,卓越 
positive,最理想 
positive,有福 
positive,资源
positive,圆通 
positive,翻天覆地 
positive,入理 
positive,诚心诚意 
positive,朴实无华 
positive,节制的
positive,心心相印
positive,高山流水 
positive,省力 
positive,堂堂 
positive,承认
positive,不同寻常 
positive,明达 
positive,超拔 
positive,跃跃欲试 
positive,心地纯良 
positive,精细 
positive,素雅 
positive,把牢 
positive,直捷 
positive,芳香
positive,熟练地
positive,一口 
positive,优秀的
positive,祝福 
positive,平板 
positive,惊羡
positive,寂静 
positive,髀肉复生 
positive,蔼然可亲 
positive,敦 
positive,善理家
positive,相信
positive,珍爱 
positive,热心 
